,Current,MaxSharpe,MinVol
Intl_DM,0.07878916952104696,3.6886003226382933e-10,1.6027322199006123e-09
US_Growth,0.12769929445651698,0.4499999996663911,1.3821272501422323e-09
EM,0.12401036023581484,2.7068343692483366e-10,2.774873095135217e-09
US_Core,0.25766751700643153,0.44999999893444226,1.816846715010162e-09
EM_USD,0.024333372583913954,1.620049625883635e-10,4.195562308921823e-09
US_SmallValue,0.023553966747154893,6.675274752298142e-10,1.5230766544829645e-09
IG_Intl_Hedged,0.012517105919960617,1.1780292751769307e-10,0.3499999978170134
Treasuries,0.08745264195360375,1.0420870976419747e-10,0.2275943956157164
Cash,0.0002938712254828147,1.178796892694931e-10,0.019999999481231396
IG_Core,0.05847607986951641,1.1445053424016071e-10,0.3499999952725502
US_Value,0.04709751487270642,0.09999999889561412,0.01392979253254004
Energy,0.04129579540401542,5.801296345968604e-10,0.03847580598564621
