Account,TaxStatus,Identifier,Sleeve,Action,Shares_Delta,Price,AverageCost,Delta_$,CapGain_$
Fidelity Brokerage,Taxable,SPAXX,Cash,BUY,4697.21,1.0,1.0,4697.21,0.0
Fidelity Brokerage,Taxable,AGG,IG_Core,BUY,673.5,100.18,0.0,67471.23,0.0
Fidelity Brokerage,Taxable,BNDX,IG_Intl_Hedged,BUY,2310.7,49.41,0.0,114171.69,0.0
Fidelity Brokerage,Taxable,91282CCF6,Treasuries,BUY,312.3,98.05,0.0,30621.01,0.0
Fidelity Brokerage,Taxable,MARUY,US_Core,SELL,-325.0,256.43,61.25,-83339.75,63433.5
Fidelity Brokerage,Taxable,IVW,US_Growth,BUY,692.2,121.06,0.0,83797.73,0.0
Fidelity Brokerage,Taxable,VTV,US_Value,BUY,253.4,187.53,0.0,47520.1,0.0
Fidelity Brokerage,Taxable,SPAXX,Cash,SELL,-2314.8,1.0,1.0,-2314.8,0.0
Fidelity HSA,HSA,FDRXX,Cash,BUY,795.69,1.0,1.0,795.69,0.0
Fidelity HSA,HSA,AGG,IG_Core,BUY,104.3,100.18,0.0,10448.77,0.0
Fidelity HSA,HSA,BNDX,IG_Intl_Hedged,BUY,358.0,49.41,0.0,17688.78,0.0
Fidelity HSA,HSA,91282CCF6,Treasuries,BUY,48.4,98.05,0.0,4745.62,0.0
Fidelity HSA,HSA,IWO,US_Core,SELL,-166.0,325.46,319.59,-54026.36,974.42
Fidelity HSA,HSA,IVW,US_Growth,BUY,107.2,121.06,0.0,12977.63,0.0
Fidelity HSA,HSA,VTV,US_Value,BUY,39.3,187.53,0.0,7369.93,0.0
Schwab Brokerage,Taxable,SPAXX,Cash,BUY,37807.16,1.0,0.0,37807.16,0.0
Schwab Brokerage,Taxable,VWO,EM,SELL,-3998.8,54.79,42.4,-219094.25,49545.13
Schwab Brokerage,Taxable,AGG,IG_Core,SELL,-1543.9,100.18,100.3,-154667.9,-185.27
Schwab Brokerage,Taxable,BNDX,IG_Intl_Hedged,BUY,12459.0,49.41,0.0,615599.19,0.0
Schwab Brokerage,Taxable,91282CCF6,Treasuries,SELL,-910.0,98.05,95.01,-89225.5,2766.4
